"filename", "language", "Java", "XML", "Java Properties", "Markdown", "comment", "blank", "total"
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\AvatarJson.java", "Java", 74, 0, 0, 0, 0, 18, 92
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\ErrorJson.java", "Java", 55, 0, 0, 0, 1, 14, 70
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\FavoriteItems.java", "Java", 114, 0, 0, 0, 1, 31, 146
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\FollowerCount.java", "Java", 45, 0, 0, 0, 0, 15, 60
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\FollowingCount.java", "Java", 45, 0, 0, 0, 0, 15, 60
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\FriendCount.java", "Java", 45, 0, 0, 0, 0, 15, 60
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\InventoryItemsJson.java", "Java", 159, 0, 0, 0, 1, 51, 211
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\InventoryLocked.java", "Java", 65, 0, 0, 0, 0, 20, 85
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\ThumbnailJson.java", "Java", 129, 0, 0, 0, 0, 34, 163
"c:\Users\Vigus\OneDrive\Documents\PROGGRAMMING\java\jdaRED\src\main\java\me\vigus\red\robloxjava\connection\json\UserBadges.java", "Java", 243, 0, 0, 0, 0, 76, 319
